penalty,dual,C,fit_intercept,solver,accuracy(%),score_standard_deviation(%),tempo(s)
l1,False,2.0,False,liblinear,91.8828451882845,1.3519242193643088,548.5468518733978
l1,False,1.5,True,liblinear,91.86192468619245,1.3891276402538943,545.9102327823639
l1,False,2.0,True,liblinear,91.79916317991632,1.4275081262955607,805.7372047901154
l1,False,1.5,False,liblinear,91.7573221757322,1.2025194864602444,787.1360785961151
l1,False,1.0,False,liblinear,91.67364016736401,1.3519242193643108,474.7761573791504
l1,False,1.0,True,liblinear,91.63179916317992,1.3297279148176333,534.4274759292603
l2,False,2.0,True,newton-cg,65.69037656903765,2.7722625562305354,15.571742296218872
none,False,2.0,False,newton-cg,64.89539748953975,2.319818623536254,14.699263572692871
none,False,1.5,False,newton-cg,64.89539748953975,2.319818623536254,13.520704746246338
none,False,1.0,False,newton-cg,64.89539748953975,2.319818623536254,15.040516376495361
l2,False,1.5,True,newton-cg,64.7907949790795,3.1339582476588648,15.210891485214233
l2,False,1.0,False,newton-cg,64.64435146443515,1.7702255900674642,13.705273389816284
l2,False,1.0,True,newton-cg,64.3723849372385,3.135354468991454,14.557621717453003
none,False,1.0,True,newton-cg,64.30962343096233,3.084905203542555,15.338167905807495
none,False,1.5,True,newton-cg,64.30962343096233,3.084905203542555,14.710792064666748
none,False,2.0,True,newton-cg,64.30962343096233,3.084905203542555,14.665474653244019
l2,False,2.0,False,newton-cg,64.0376569037657,2.115868595687641,15.446563005447388
l2,False,1.5,False,newton-cg,62.94979079497909,2.1870681515822996,14.527209043502808
l2,False,1.5,True,liblinear,60.0836820083682,2.316042259932725,11.385433673858643
l2,False,1.0,False,liblinear,60.04184100418411,2.3012552301255216,10.570124626159668
l2,False,1.0,True,liblinear,60.020920502092046,2.168982933603811,10.834846496582031
l2,False,2.0,True,liblinear,59.937238493723854,2.174625563424762,11.526916265487671
l2,False,2.0,False,liblinear,59.89539748953975,2.0963345252019994,10.499874114990234
l2,False,1.5,False,liblinear,59.83263598326361,2.1941607702304426,10.87620997428894
l2,True,1.0,False,liblinear,59.01673640167363,3.5484156541367646,5.470350742340088
l2,True,1.0,True,liblinear,58.61924686192468,2.476761269782216,5.445241212844849
l2,True,2.0,False,liblinear,57.55230125523012,5.317636086597377,5.414805889129639
l2,False,1.0,True,lbfgs,56.71548117154812,4.1435799425059985,1.7159531116485596
l2,True,2.0,True,liblinear,56.694560669456074,4.2329781093995225,5.680589914321899
l2,False,1.0,False,lbfgs,56.2133891213389,4.439929922191969,1.6681420803070068
l2,True,1.5,True,liblinear,55.753138075313814,5.474819852931367,5.429579019546509
l2,False,2.0,False,lbfgs,55.606694560669446,4.263678394261754,1.664792776107788
l2,False,1.5,True,lbfgs,55.37656903765691,4.212300366658336,1.7532057762145996
none,False,1.0,True,lbfgs,54.79079497907951,4.26023822495562,1.691312551498413
none,False,2.0,True,lbfgs,54.79079497907951,4.26023822495562,1.694260597229004
none,False,1.5,True,lbfgs,54.79079497907951,4.26023822495562,1.7479870319366455
l2,False,1.5,False,lbfgs,54.393305439330554,4.302712092301912,1.6966426372528076
l2,False,2.0,True,lbfgs,54.39330543933054,4.377336988713643,1.738710641860962
none,False,1.5,False,lbfgs,54.37238493723848,4.143579942506,1.5868353843688965
none,False,2.0,False,lbfgs,54.37238493723848,4.143579942506,1.648761510848999
none,False,1.0,False,lbfgs,54.37238493723848,4.143579942506,1.5956075191497803
l2,True,1.5,False,liblinear,53.24267782426778,3.149560572113593,5.426406145095825
none,False,1.5,True,sag,50.0,0.0,4.716200590133667
none,False,1.5,True,saga,50.0,0.0,5.403526067733765
none,False,2.0,True,sag,50.0,0.0,4.579540252685547
none,False,2.0,True,saga,50.0,0.0,5.554177761077881
none,False,1.5,False,saga,50.0,0.0,5.375551700592041
none,False,1.0,False,saga,50.0,0.0,5.416687488555908
none,False,1.0,False,sag,50.0,0.0,4.466724395751953
none,False,2.0,False,sag,50.0,0.0,4.522006511688232
none,False,1.5,False,sag,50.0,0.0,4.340194940567017
l2,False,1.5,False,sag,50.0,0.0,4.659372329711914
none,False,1.0,True,saga,50.0,0.0,5.469371795654297
none,False,1.0,True,sag,50.0,0.0,4.741539478302002
l1,False,1.0,False,saga,50.0,0.0,9.708202838897705
l1,False,1.5,True,saga,50.0,0.0,9.859954118728638
l1,False,1.5,False,saga,50.0,0.0,9.837718725204468
l1,False,2.0,True,saga,50.0,0.0,9.612327575683594
l1,False,2.0,False,saga,50.0,0.0,9.91054654121399
l2,False,1.0,True,sag,50.0,0.0,4.476558208465576
l2,False,1.0,True,saga,50.0,0.0,5.358634948730469
l2,False,1.0,False,sag,50.0,0.0,4.540011644363403
l2,False,1.0,False,saga,50.0,0.0,5.221552133560181
l2,False,1.5,True,sag,50.0,0.0,4.661890029907227
l2,False,1.5,True,saga,50.0,0.0,5.556239366531372
l1,False,1.0,True,saga,50.0,0.0,10.091163635253906
l2,False,1.5,False,saga,50.0,0.0,5.489367246627808
l2,False,2.0,True,sag,50.0,0.0,4.649979591369629
l2,False,2.0,True,saga,50.0,0.0,5.718900918960571
l2,False,2.0,False,sag,50.0,0.0,4.657116651535034
l2,False,2.0,False,saga,50.0,0.0,5.647792339324951
none,False,2.0,False,saga,50.0,0.0,5.424535274505615
