stage,alpha,solver,accuracy(%),score_standard_deviation(%),tempo(s)
awake,0.3,auto,97.78442335518129,0.1416045036136006,27.45251178741455
awake,0.3,svd,97.78442335518129,0.1416045036136006,26.15173101425171
awake,0.1,auto,97.78088791258817,0.1493670172924221,32.83368277549744
awake,0.1,svd,97.78088791258817,0.1493670172924221,25.177785396575928
awake,0.2,auto,97.77911894069285,0.14490567422960143,27.47797656059265
awake,0.2,svd,97.77911894069285,0.14490567422960143,26.2406005859375
awake,0.4,auto,97.7755819348513,0.13499845381539347,27.731334447860718
awake,0.4,svd,97.7755819348513,0.13499845381539347,26.931541204452515
awake,0.5,auto,97.77558130955194,0.12364774410514671,29.05855679512024
awake,0.5,svd,97.77558130955194,0.12364774410514671,30.568769454956055
awake,0.7,auto,97.7738132756057,0.13068825432089357,22.543148279190063
awake,0.7,svd,97.7738132756057,0.13068825432089357,32.98270845413208
awake,0.6,auto,97.77204492900977,0.12792144898584137,26.983132123947144
awake,0.6,svd,97.77204492900977,0.12792144898584137,28.00086784362793
awake,0.8,auto,97.76497216792541,0.12845577476617426,33.0353639125824
awake,0.8,svd,97.76497216792541,0.12845577476617426,30.541911602020264
awake,0.9,auto,97.76497216792541,0.12500248693906152,31.065897226333618
awake,0.9,svd,97.76497216792541,0.12500248693906152,27.955087423324585
awake,1.0,auto,97.7614361000329,0.12747220590280484,25.732195377349854
awake,1.0,svd,97.7614361000329,0.12747220590280484,26.0128390789032
